PrimeA, PrimeB
89597, 89599
89897, 89899
90371, 90373
89819, 89821
90401, 90403
91811, 91813
90017, 90019
90527, 90529
91127, 91129
90437, 90439
90071, 90073
90821, 90823
90197, 90199
90617, 90619
91967, 91969
92399, 92401
92177, 92179
91151, 91153
91079, 91081
92219, 92221
92567, 92569
91571, 91573
91367, 91369
91457, 91459
92639, 92641
92681, 92683
92861, 92863
93239, 93241
93281, 93283
92381, 92383
93491, 93493
93701, 93703
92789, 92791
93911, 93913
92957, 92959
93479, 93481
92459, 92461
92669, 92671
94109, 94111
94151, 94153
93251, 93253
93131, 93133
93557, 93559
94541, 94543
94529, 94531
93809, 93811
94949, 94951
93761, 93763
93887, 93889
95087, 95089
94397, 94399
94007, 94009
94307, 94309
94349, 94351
94439, 94441
94649, 94651
94559, 94561
95801, 95803
95789, 95791
95189, 95191
94847, 94849
95231, 95233
95957, 95959
95441, 95443
96329, 96331
96179, 96181
96221, 96223
95987, 95989
96587, 96589
97001, 97003
96797, 96799
97169, 97171
97379, 97381
97301, 97303
97547, 97549
97841, 97843
97847, 97849
98009, 98011
96737, 96739
96821, 96823
97607, 97609
97649, 97651
97499, 97501
98387, 98389
97859, 97861
97157, 97159
98561, 98563
98639, 98641
98729, 98731
97367, 97369
98321, 98323
98807, 98809
98897, 98899
98297, 98299
98867, 98869
98909, 98911
97577, 97579
99527, 99529
98927, 98929
97787, 97789
99989, 99991
99137, 99139
100151, 100153
99347, 99349
99707, 99709
100361, 100363
98711, 98713
99131, 99133
99257, 99259
100547, 100549
99719, 99721
100799, 100801
101117, 101119
100391, 100393
101159, 101161
100517, 100519
101111, 101113
101747, 101749
101207, 101209
101279, 101281
101999, 102001
102251, 102253
101531, 101533
101501, 101503
102197, 102199
102059, 102061
102101, 102103
102407, 102409
103091, 103093
101837, 101839
102077, 102079
102299, 102301
102911, 102913
102677, 102679
103067, 103069
102761, 102763
102929, 102931
104309, 104311
102497, 102499
103289, 103291
103391, 103393
103811, 103813
103991, 103993
105359, 105361
103979, 103981
105527, 105529
104147, 104149
104231, 104233
103421, 103423
104087, 104089
104381, 104383
106031, 106033
104549, 104551
103841, 103843
104759, 104761
103967, 103969
104801, 104803
105251, 105253
106451, 106453
106619, 106621
105767, 105769
106661, 106663
106187, 106189
104471, 104473
104681, 104683
104849, 104851
106859, 106861
106121, 106123
106217, 106219
105227, 105229
107069, 107071
106541, 106543
106751, 106753
107837, 107839
107099, 107101
106961, 106963
106277, 106279
106319, 106321
107507, 107509
107717, 107719
108107, 108109
106781, 106783
108191, 108193
108287, 108289
109139, 109141
108947, 108949
108011, 108013
108497, 108499
109517, 109519
108707, 108709
109199, 109201
108791, 108793
108377, 108379
108959, 108961
109451, 109453
109169, 109171
108461, 108463
110567, 110569
109619, 109621
109661, 109663
110819, 110821
108881, 108883
109841, 109843
109829, 109831
111029, 111031
110321, 110323
109469, 109471
110501, 110503
111491, 111493
110879, 110881
111827, 111829
110921, 110923
111227, 111229
111869, 111871
111269, 111271
109847, 109849
111119, 111121
112247, 112249
112289, 112291
111731, 111733
112067, 112069
112919, 112921
110477, 110479
113171, 113173
112361, 112363
110729, 110731
112571, 112573
113381, 113383
112601, 112603
113717, 113719
113759, 113761
111779, 111781
112337, 112339
113021, 113023
113159, 113161
112757, 112759
113147, 113149
114599, 114601
114641, 114643
113327, 113329
113357, 113359
115019, 115021
113537, 113539
113777, 113779
113621, 113623
113039, 113041
113081, 113083
115859, 115861
114041, 114043
115901, 115903
114689, 114691
114197, 114199
116531, 116533
115151, 115153
114797, 114799
114659, 114661
115319, 115321
115361, 115363
117329, 117331
117371, 117373
115301, 115303
117497, 117499
115781, 115783
117539, 117541
115469, 115471
116537, 116539
116789, 116791
118169, 118171
118211, 118213
115931, 115933
116099, 116101
117041, 117043
115877, 115879
117671, 117673
116687, 116689
115601, 115603
117839, 117841
118799, 118801
117881, 117883
115769, 115771
117191, 117193
115979, 115981
116189, 116191
117989, 117991
118409, 118411
118619, 118621
119849, 119851
117239, 117241
119099, 119101
117617, 117619
117701, 117703
116927, 116929
119291, 119293
118247, 118249
119417, 119419
120689, 120691
119687, 119689
120941, 120943
119771, 119773
119981, 119983
119087, 119089
119129, 119131
119921, 119923
119297, 119299
119549, 119551
120047, 120049
117809, 117811
121949, 121951
117977, 117979
120737, 120739
122201, 122203
118901, 118903
121367, 121369
119657, 119659
119699, 119701
121577, 121579
121349, 121351
123377, 123379
121019, 121021
121061, 121063
120077, 120079
122147, 122149
121439, 121441
122399, 122401
121787, 121789
122039, 122041
122609, 122611
121607, 121609
122651, 122653
122207, 122209
124301, 124303
122027, 122029
124427, 124429
120917, 120919
122321, 122323
121169, 121171
122501, 122503
123491, 123493
122741, 122743
122867, 122869
121631, 121633
124121, 124123
123581, 123583
124247, 124249
125897, 125899
122051, 122053
124541, 124543
122387, 122389
123551, 123553
126611, 126613
124337, 124339
122597, 122599
127031, 127033
124181, 124183
124349, 124351
125507, 125509
124769, 124771
125219, 125221
125639, 125641
125927, 125929
126011, 126013
123731, 123733
126227, 126229
124979, 124981
127607, 127609
126857, 126859
127817, 127819
124781, 124783
124907, 124909
128111, 128113
125117, 125119
128237, 128239
126491, 126493
127079, 127081
127247, 127249
128201, 128203
127289, 127291
128657, 128659
128411, 128413
125789, 125791
127709, 127711
128747, 128749
128831, 128833
129119, 129121
129287, 129289
129497, 129499
128339, 128341
131777, 131779
129917, 129919
128549, 128551
129587, 129589
129629, 129631
